decision_id,category,decision,advisors_present,num_advisors,votes_json,yes_votes,no_votes,abstain_votes,board_recommendation,final_choice,user_aligned_with_board,outcome,satisfaction_score,days_to_outcome
DEC-0001,Lifestyle,Should I move to a new city where I know no one?,"Spouse/Partner, Future Self, Inner Critic",3,"{""Spouse/Partner"": ""Yes"", ""Future Self"": ""Yes"", ""Inner Critic"": ""No""}",2,1,0,Yes,Proceeded (aligned with majority),True,Mixed,2,14.0
DEC-0002,Finance,Should I take on a side hustle for extra income?,"Dad Voice, CFO, Future Self, Therapist, Chaos Goblin",5,"{""Dad Voice"": ""No"", ""CFO"": ""No"", ""Future Self"": ""Yes"", ""Therapist"": ""Yes"", ""Chaos Goblin"": ""Abstain""}",2,2,1,Split,Did not proceed (aligned with majority),True,Successful,4,38.0
DEC-0003,Finance,Should I take on a side hustle for extra income?,"Adventurer, Dad Voice, Chaos Goblin, CFO",4,"{""Adventurer"": ""Yes"", ""Dad Voice"": ""Yes"", ""Chaos Goblin"": ""Yes"", ""CFO"": ""Yes""}",4,0,0,Yes,Proceeded (aligned with majority),True,Successful,5,13.0
DEC-0004,Personal Growth,Should I start a podcast about my niche interest?,"Dad Voice, Therapist, Future Self, Inner Critic, CFO",5,"{""Dad Voice"": ""Yes"", ""Therapist"": ""Yes"", ""Future Self"": ""Yes"", ""Inner Critic"": ""Yes"", ""CFO"": ""Yes""}",5,0,0,Yes,Proceeded (aligned with majority),True,Successful,5,49.0
DEC-0005,Finance,Should I buy the new car or keep driving my old one?,"Future Self, Spouse/Partner, Adventurer, Inner Critic",4,"{""Future Self"": ""No"", ""Spouse/Partner"": ""No"", ""Adventurer"": ""Yes"", ""Inner Critic"": ""No""}",1,3,0,No,Proceeded anyway,False,Pending,4,
DEC-0006,Finance,Should I co-sign my sibling's loan?,"CFO, Future Self, Dad Voice, Chaos Goblin",4,"{""CFO"": ""No"", ""Future Self"": ""Yes"", ""Dad Voice"": ""Yes"", ""Chaos Goblin"": ""Abstain""}",2,1,1,Yes,Delayed decision,False,Mixed,3,53.0
DEC-0007,Lifestyle,Should I switch to a plant-based diet?,"Spouse/Partner, Builder, Future Self",3,"{""Spouse/Partner"": ""No"", ""Builder"": ""No"", ""Future Self"": ""No""}",0,3,0,No,Did not proceed (aligned with majority),True,Mixed,3,20.0
DEC-0008,Personal Growth,Should I hire a life coach?,"CFO, Adventurer, Builder",3,"{""CFO"": ""No"", ""Adventurer"": ""No"", ""Builder"": ""Yes""}",1,2,0,No,Proceeded anyway,False,Mixed,4,70.0
DEC-0009,Relationships,Should I forgive my friend for breaking my trust?,"Adventurer, Inner Critic, Spouse/Partner",3,"{""Adventurer"": ""No"", ""Inner Critic"": ""No"", ""Spouse/Partner"": ""Yes""}",1,2,0,No,Proceeded anyway,False,Successful,5,36.0
DEC-0010,Personal Growth,Should I join the mastermind group?,"Inner Critic, Adventurer, Spouse/Partner",3,"{""Inner Critic"": ""Abstain"", ""Adventurer"": ""Yes"", ""Spouse/Partner"": ""Yes""}",2,0,1,Yes,Proceeded (aligned with majority),True,Successful,5,70.0
